incident_id,crime_type,latitude,longitude,date,time,severity,ward,weather,risk_score
36,harassment,12.96568,77.721614,28-05-2025,12:18,moderate,Whitefield,rainy,74
37,harassment,12.947682,77.464284,05-06-2025,01:50,moderate,Hebbal,rainy,91
38,vandalism,13.048686,77.687669,27-05-2025,08:19,low,Hebbal,humid,94
39,assault,13.030969,77.402691,28-05-2025,04:22,high,Electronic City,clear,51
40,vehicle_theft,12.936108,77.587218,09-10-2025,06:45,high,Indiranagar,rainy,77
41,burglary,12.80242,77.513994,16-05-2025,05:14,critical,Indiranagar,humid,74
42,vehicle_theft,12.988118,77.772329,11-04-2025,11:25,high,BTM,humid,66
43,assault,13.097261,77.676502,30-09-2025,00:54,high,Malleshwaram,rainy,75
44,street_fight,12.819763,77.567791,30-10-2025,21:54,high,Malleshwaram,humid,77
45,vehicle_theft,13.074803,77.61129,05-04-2025,12:50,high,Jayanagar,clear,48
46,vandalism,12.938236,77.411777,12-04-2025,10:59,low,Jayanagar,rainy,38
47,street_fight,12.859545,77.573503,12-08-2025,11:24,high,Hebbal,rainy,69
48,public_damage,13.043657,77.45206,22-07-2025,10:11,moderate,Malleshwaram,cloudy,23
49,vandalism,12.858762,77.500697,07-06-2025,17:44,low,Indiranagar,rainy,51
50,vehicle_theft,12.913444,77.735039,12-08-2025,12:28,high,Whitefield,cloudy,86
51,street_fight,12.9399,77.439801,09-11-2025,20:20,high,Whitefield,cloudy,85
52,burglary,12.994927,77.757563,12-07-2025,06:39,critical,BTM,rainy,35
53,assault,12.847024,77.705363,14-07-2025,03:31,high,Jayanagar,rainy,42
54,chain_snatching,12.878703,77.539031,17-05-2025,07:59,high,Malleshwaram,rainy,18
55,pickpocketing,13.09725,77.721898,09-05-2025,11:23,moderate,Electronic City,clear,67
56,cybercrime,13.054373,77.420134,14-06-2025,20:40,low,Electronic City,rainy,36
57,street_fight,13.064066,77.652421,01-11-2025,06:57,high,Whitefield,humid,19
58,chain_snatching,13.006872,77.726752,09-06-2025,08:12,high,Malleshwaram,clear,78
59,street_fight,13.030435,77.408685,29-03-2025,07:29,high,Hebbal,cloudy,86
60,chain_snatching,12.840042,77.474499,09-09-2025,04:58,high,MG Road,cloudy,36
61,road_accident,12.882531,77.757169,05-06-2025,12:45,high,Whitefield,rainy,17
62,street_fight,12.892561,77.577708,16-08-2025,17:37,high,Hebbal,humid,52
63,chain_snatching,12.977798,77.732938,08-06-2025,07:41,high,Malleshwaram,clear,92
64,assault,12.967616,77.756888,25-07-2025,01:31,high,Yelahanka,cloudy,37
65,street_fight,13.035058,77.564734,14-04-2025,09:54,high,Koramangala,clear,16
66,public_damage,12.820428,77.548828,22-04-2025,07:36,moderate,Hebbal,humid,11
67,chain_snatching,13.075745,77.661478,08-07-2025,22:12,high,Hebbal,cloudy,54
68,cybercrime,12.988968,77.581269,16-07-2025,00:24,low,BTM,cloudy,83
69,cybercrime,12.94155,77.618285,24-05-2025,12:48,low,Koramangala,clear,34
70,burglary,12.87844,77.416913,25-10-2025,03:07,critical,Hebbal,rainy,30
71,vandalism,12.861565,77.533253,19-04-2025,18:09,low,Electronic City,rainy,45
72,burglary,12.967906,77.554224,13-07-2025,03:44,critical,Jayanagar,rainy,29
73,burglary,13.037824,77.56578,04-05-2025,14:19,critical,Yelahanka,clear,81
74,vandalism,12.948081,77.610982,08-08-2025,21:40,low,Jayanagar,rainy,31
75,harassment,12.918287,77.432643,21-07-2025,07:11,moderate,MG Road,rainy,88
76,road_accident,13.001319,77.658223,04-05-2025,06:00,high,Koramangala,rainy,50
77,street_fight,12.983753,77.655008,15-10-2025,16:07,high,MG Road,clear,23
78,pickpocketing,12.934442,77.453044,02-05-2025,13:54,moderate,Koramangala,cloudy,17
79,street_fight,12.895513,77.617748,08-10-2025,11:45,high,Hebbal,clear,76
80,pickpocketing,12.971065,77.671093,29-07-2025,11:51,moderate,Yelahanka,cloudy,46
81,harassment,12.897754,77.749196,07-04-2025,17:34,moderate,Jayanagar,cloudy,81
82,cybercrime,13.033429,77.58473,20-11-2025,11:13,low,BTM,rainy,48
83,chain_snatching,12.949849,77.548646,07-09-2025,04:06,high,Whitefield,cloudy,52
84,street_fight,12.879253,77.67256,14-10-2025,14:57,high,MG Road,clear,70
85,chain_snatching,12.863019,77.432271,12-07-2025,17:28,high,Jayanagar,rainy,11
86,cybercrime,12.990947,77.605886,25-08-2025,11:54,low,Whitefield,cloudy,67
87,street_fight,12.933713,77.502154,16-09-2025,02:18,high,Indiranagar,humid,37
88,vandalism,13.070496,77.772627,17-04-2025,02:43,low,Indiranagar,humid,63
89,road_accident,13.009626,77.433608,10-07-2025,22:44,high,Electronic City,rainy,43
90,street_fight,13.084973,77.646472,27-05-2025,03:31,high,Jayanagar,humid,49
91,street_fight,12.956597,77.418594,16-04-2025,22:12,high,Whitefield,clear,92
92,harassment,13.072811,77.59529,16-08-2025,15:23,moderate,MG Road,rainy,62
93,cybercrime,12.932128,77.729356,14-11-2025,07:53,low,Jayanagar,rainy,56
94,assault,12.942984,77.520468,24-04-2025,08:13,high,Koramangala,humid,57
95,pickpocketing,13.073257,77.64534,21-09-2025,04:39,moderate,Yelahanka,clear,58
96,vehicle_theft,12.966522,77.736323,26-06-2025,12:34,high,Indiranagar,humid,11
97,cybercrime,12.993715,77.511042,14-04-2025,11:43,low,MG Road,cloudy,12
98,road_accident,12.998855,77.539349,16-08-2025,03:57,high,Indiranagar,rainy,87
99,street_fight,13.024086,77.527173,24-09-2025,02:16,high,BTM,clear,81
100,vehicle_theft,12.997249,77.740478,19-07-2025,09:06,high,Whitefield,clear,41
101,pickpocketing,12.807986,77.670293,01-08-2025,17:59,moderate,Jayanagar,humid,47
102,road_accident,12.80907,77.507182,31-07-2025,13:51,high,Jayanagar,clear,65
103,pickpocketing,12.863171,77.788784,11-10-2025,06:51,moderate,Koramangala,humid,67
104,assault,12.913695,77.469171,26-03-2025,01:00,high,BTM,clear,52
105,vandalism,12.819974,77.661856,15-07-2025,02:58,low,Malleshwaram,humid,17
106,chain_snatching,12.961503,77.704843,28-03-2025,20:50,high,Jayanagar,rainy,91
107,vehicle_theft,12.960298,77.657967,31-03-2025,08:50,high,Yelahanka,cloudy,67
108,street_fight,12.934927,77.690429,22-08-2025,12:47,high,Whitefield,humid,77
109,vehicle_theft,12.878147,77.462563,03-07-2025,14:47,high,Electronic City,rainy,92
110,chain_snatching,13.065819,77.694203,31-10-2025,13:56,high,BTM,cloudy,26
111,chain_snatching,12.838335,77.622725,27-03-2025,11:12,high,Koramangala,humid,19
112,chain_snatching,12.973714,77.505074,15-06-2025,20:59,high,Koramangala,humid,95
113,public_damage,12.836468,77.731876,10-07-2025,15:24,moderate,Koramangala,rainy,63
114,vehicle_theft,12.86578,77.585839,21-10-2025,09:04,high,Yelahanka,humid,64
115,harassment,12.973508,77.739878,23-06-2025,05:53,moderate,Hebbal,cloudy,63
116,burglary,12.805446,77.493978,21-05-2025,03:26,critical,MG Road,cloudy,41
117,road_accident,12.961717,77.450384,02-07-2025,02:36,high,Whitefield,humid,93
118,harassment,12.810989,77.632609,31-05-2025,11:48,moderate,BTM,clear,65
119,chain_snatching,13.018321,77.704182,28-05-2025,02:06,high,Malleshwaram,rainy,61
120,chain_snatching,12.947603,77.597736,14-10-2025,07:48,high,Malleshwaram,humid,31
121,cybercrime,12.947978,77.777002,10-06-2025,06:57,low,Electronic City,cloudy,24
122,burglary,12.977339,77.726289,14-04-2025,22:34,critical,Indiranagar,rainy,59
123,harassment,12.998453,77.544532,02-08-2025,02:02,moderate,Malleshwaram,humid,73
124,chain_snatching,12.804133,77.478503,21-05-2025,18:11,high,Jayanagar,rainy,88
125,vandalism,13.044991,77.65126,23-10-2025,13:05,low,Jayanagar,cloudy,21
126,chain_snatching,13.010549,77.406066,19-05-2025,18:11,high,MG Road,clear,83
127,burglary,12.838833,77.586707,13-06-2025,19:35,critical,Hebbal,clear,40
128,street_fight,12.864672,77.474525,21-08-2025,05:28,high,Koramangala,humid,87
129,chain_snatching,12.960809,77.627791,01-04-2025,15:42,high,Yelahanka,rainy,46
130,vehicle_theft,12.806571,77.605397,03-11-2025,21:07,high,Indiranagar,cloudy,64
131,road_accident,12.956049,77.527569,01-08-2025,21:14,high,Jayanagar,cloudy,53
132,chain_snatching,12.894731,77.684008,20-09-2025,21:01,high,Koramangala,cloudy,58
133,assault,12.833626,77.501964,19-07-2025,06:01,high,Malleshwaram,cloudy,49
134,street_fight,12.91021,77.777312,26-04-2025,07:05,high,MG Road,humid,89
135,road_accident,12.806851,77.567832,12-08-2025,21:07,high,Koramangala,cloudy,43
136,cybercrime,13.021041,77.567669,30-06-2025,00:45,low,MG Road,clear,74
137,vehicle_theft,12.873634,77.604592,29-04-2025,02:54,high,Yelahanka,rainy,23
138,public_damage,12.927732,77.58938,13-06-2025,00:45,moderate,Hebbal,rainy,12
139,public_damage,12.85586,77.771938,20-10-2025,17:19,moderate,MG Road,rainy,31
140,street_fight,12.810913,77.741411,21-06-2025,03:21,high,Koramangala,humid,28
141,burglary,12.961657,77.414223,10-06-2025,18:17,critical,Jayanagar,humid,92
142,road_accident,12.817237,77.47413,24-04-2025,03:02,high,Indiranagar,cloudy,57
143,pickpocketing,12.934381,77.71181,28-08-2025,17:17,moderate,Jayanagar,humid,33
144,pickpocketing,12.894348,77.713363,17-05-2025,08:07,moderate,Indiranagar,rainy,67
145,road_accident,13.00494,77.511723,31-10-2025,21:45,high,Whitefield,clear,84
146,vandalism,12.891772,77.408204,30-10-2025,07:22,low,BTM,rainy,71
147,harassment,12.802922,77.712337,09-09-2025,11:29,moderate,Hebbal,humid,75
148,road_accident,12.910219,77.718181,07-11-2025,17:55,high,BTM,rainy,52
149,harassment,12.913878,77.581594,12-05-2025,15:04,moderate,Yelahanka,clear,18
150,street_fight,13.006345,77.755568,20-10-2025,03:07,high,Indiranagar,humid,82
151,assault,13.06899,77.696575,09-06-2025,13:03,high,Malleshwaram,rainy,26
152,burglary,13.004188,77.596524,28-07-2025,10:26,critical,Yelahanka,clear,84
153,harassment,12.907037,77.756408,28-05-2025,02:20,moderate,BTM,humid,80
154,vehicle_theft,12.83266,77.667947,03-07-2025,15:00,high,MG Road,cloudy,51
155,vehicle_theft,13.011992,77.794209,29-05-2025,17:47,high,Electronic City,rainy,90
156,assault,12.96563,77.710082,18-11-2025,15:52,high,Yelahanka,cloudy,81
157,public_damage,12.943917,77.707942,18-08-2025,15:30,moderate,MG Road,humid,19
158,vandalism,13.052534,77.720279,16-05-2025,05:30,low,BTM,clear,14
159,burglary,12.848897,77.708902,16-07-2025,10:59,critical,Koramangala,rainy,85
160,pickpocketing,12.802851,77.620919,11-06-2025,02:50,moderate,Hebbal,humid,44
161,burglary,12.921588,77.643408,19-05-2025,03:52,critical,Malleshwaram,rainy,63
162,assault,12.810128,77.61091,20-06-2025,14:13,high,Whitefield,cloudy,35
163,road_accident,12.91216,77.630169,19-05-2025,20:41,high,MG Road,cloudy,33
164,assault,12.828881,77.766938,30-05-2025,19:23,high,Koramangala,rainy,86
165,vandalism,12.929995,77.756488,13-05-2025,15:29,low,Indiranagar,clear,47
166,harassment,12.925133,77.488189,17-07-2025,17:01,moderate,MG Road,rainy,12
167,chain_snatching,12.91766,77.539528,18-04-2025,00:31,high,Malleshwaram,cloudy,93
168,vehicle_theft,12.990768,77.675573,08-11-2025,08:02,high,BTM,humid,49
169,road_accident,12.842588,77.537313,08-05-2025,00:30,high,Electronic City,humid,70
170,street_fight,13.081163,77.542422,17-11-2025,10:55,high,Yelahanka,humid,13
171,public_damage,12.920629,77.571573,28-07-2025,01:39,moderate,Yelahanka,clear,85
172,assault,13.038979,77.799245,07-06-2025,05:24,high,Jayanagar,cloudy,83
173,road_accident,13.065172,77.441755,08-08-2025,20:50,high,Yelahanka,cloudy,29
174,chain_snatching,12.944763,77.505049,11-04-2025,23:10,high,Indiranagar,rainy,36
175,harassment,13.07459,77.443414,17-11-2025,10:31,moderate,Hebbal,humid,27
176,road_accident,12.926282,77.436794,09-11-2025,05:22,high,MG Road,clear,72
177,pickpocketing,12.815059,77.425998,23-05-2025,08:57,moderate,Jayanagar,rainy,75
178,vandalism,12.927642,77.457054,26-09-2025,09:04,low,Malleshwaram,humid,45
179,cybercrime,12.999824,77.719524,03-10-2025,12:27,low,Yelahanka,clear,33
180,vehicle_theft,12.979296,77.403307,03-08-2025,19:46,high,Electronic City,rainy,44
181,road_accident,12.973085,77.74051,24-10-2025,11:41,high,BTM,clear,23
182,road_accident,12.807028,77.549632,14-09-2025,13:51,high,Whitefield,rainy,58
183,street_fight,12.835698,77.758034,14-11-2025,21:05,high,Koramangala,clear,44
184,assault,12.902798,77.719529,22-06-2025,01:21,high,Indiranagar,clear,36
185,harassment,13.057197,77.475466,03-10-2025,00:37,moderate,Electronic City,rainy,26
186,street_fight,13.074572,77.651602,13-05-2025,07:15,high,Hebbal,clear,38
187,burglary,12.996592,77.564861,08-08-2025,21:13,critical,BTM,rainy,89
188,pickpocketing,12.827281,77.6405,13-09-2025,22:33,moderate,Yelahanka,humid,82
189,cybercrime,12.985385,77.633094,16-11-2025,20:03,low,BTM,rainy,69
190,harassment,12.811149,77.575445,28-06-2025,20:11,moderate,Whitefield,cloudy,81
191,road_accident,12.850362,77.740229,04-05-2025,07:03,high,MG Road,clear,67
192,assault,12.930519,77.485014,28-10-2025,06:35,high,BTM,clear,46
193,harassment,12.840975,77.454361,26-06-2025,14:06,moderate,Koramangala,clear,35
194,pickpocketing,12.80943,77.572812,12-08-2025,00:36,moderate,Hebbal,clear,30
195,cybercrime,12.874837,77.529627,09-11-2025,16:42,low,Malleshwaram,cloudy,34
196,street_fight,12.975211,77.584129,27-07-2025,14:35,high,Jayanagar,humid,67
197,burglary,12.925433,77.468267,11-05-2025,12:10,critical,Whitefield,rainy,34
198,vandalism,12.818794,77.567692,14-05-2025,08:51,low,Indiranagar,humid,72
199,road_accident,12.840985,77.709386,08-10-2025,14:05,high,Malleshwaram,cloudy,24
200,chain_snatching,12.845561,77.576286,12-06-2025,15:56,high,MG Road,humid,93
201,cybercrime,12.852782,77.553927,20-06-2025,06:56,low,Koramangala,cloudy,92
202,assault,12.983058,77.541143,20-09-2025,02:35,high,Koramangala,rainy,55
203,cybercrime,12.866712,77.65064,22-08-2025,19:57,low,BTM,clear,61
204,vehicle_theft,13.093766,77.770631,02-11-2025,19:21,high,Hebbal,rainy,93
205,pickpocketing,13.043665,77.628367,17-10-2025,21:33,moderate,Jayanagar,humid,53
206,cybercrime,13.073707,77.793696,27-06-2025,09:00,low,Hebbal,rainy,15
207,public_damage,12.964288,77.769745,17-08-2025,01:24,moderate,Whitefield,humid,47
208,public_damage,12.860932,77.441243,31-10-2025,10:48,moderate,Indiranagar,cloudy,71
209,road_accident,12.815723,77.574056,24-04-2025,12:51,high,MG Road,cloudy,92
210,chain_snatching,12.986668,77.48329,02-07-2025,13:45,high,Malleshwaram,cloudy,45
211,vandalism,13.060958,77.657135,08-11-2025,04:24,low,Jayanagar,humid,30
212,pickpocketing,13.097379,77.675264,01-07-2025,03:40,moderate,MG Road,rainy,37
213,cybercrime,12.953047,77.426267,29-08-2025,16:24,low,Electronic City,humid,45
214,vandalism,12.819453,77.436957,15-04-2025,20:29,low,Electronic City,cloudy,88
215,assault,13.000551,77.615186,19-11-2025,20:47,high,MG Road,humid,78
216,public_damage,12.946265,77.71545,20-06-2025,14:30,moderate,Hebbal,rainy,88
217,pickpocketing,12.983791,77.624855,23-10-2025,18:54,moderate,Electronic City,humid,16
218,pickpocketing,12.946398,77.527632,14-07-2025,19:05,moderate,Electronic City,clear,35
219,assault,12.843826,77.492883,30-08-2025,10:02,high,Electronic City,rainy,76
220,cybercrime,12.910734,77.469631,20-11-2025,08:42,low,Koramangala,humid,14
221,vehicle_theft,12.928353,77.439268,05-10-2025,09:34,high,BTM,clear,49
222,road_accident,12.837629,77.492819,09-11-2025,03:03,high,Koramangala,rainy,35
223,burglary,13.047228,77.674769,29-08-2025,01:16,critical,Hebbal,cloudy,67
224,cybercrime,12.856613,77.484974,11-04-2025,15:35,low,MG Road,humid,18
225,harassment,12.962628,77.633869,20-09-2025,02:42,moderate,Electronic City,cloudy,18
226,street_fight,13.070069,77.600803,01-06-2025,07:20,high,Hebbal,humid,47
227,street_fight,12.923811,77.513705,10-06-2025,10:43,high,MG Road,clear,26
228,pickpocketing,12.816694,77.405172,04-08-2025,10:11,moderate,MG Road,cloudy,41
229,chain_snatching,12.969405,77.692414,19-05-2025,04:34,high,Indiranagar,humid,47
230,road_accident,12.81071,77.414727,07-06-2025,21:22,high,BTM,clear,82
231,chain_snatching,12.986282,77.759095,22-06-2025,08:55,high,Whitefield,humid,63
232,harassment,13.081955,77.563467,05-05-2025,14:35,moderate,Indiranagar,rainy,44
233,harassment,12.803653,77.611114,23-06-2025,18:19,moderate,Electronic City,humid,71
234,vehicle_theft,12.848823,77.669803,12-11-2025,18:10,high,Malleshwaram,clear,49
235,harassment,13.078744,77.727428,20-04-2025,07:55,moderate,Hebbal,humid,69
236,road_accident,13.074863,77.493724,19-09-2025,00:44,high,Koramangala,clear,19
237,pickpocketing,12.801692,77.65349,14-10-2025,23:03,moderate,Jayanagar,cloudy,10
238,public_damage,13.023585,77.515338,27-06-2025,07:49,moderate,MG Road,clear,35
239,vandalism,12.9996,77.656649,02-09-2025,21:53,low,Jayanagar,cloudy,54
240,harassment,12.88843,77.698405,06-09-2025,13:46,moderate,Hebbal,rainy,37
241,assault,13.036711,77.421899,28-10-2025,07:03,high,Malleshwaram,humid,10
242,street_fight,12.804667,77.499108,10-09-2025,00:53,high,Malleshwaram,cloudy,68
243,pickpocketing,13.04455,77.553238,24-05-2025,17:41,moderate,Jayanagar,rainy,62
244,vehicle_theft,12.82037,77.691281,18-11-2025,11:05,high,Whitefield,clear,45
245,public_damage,13.090114,77.588626,24-07-2025,07:19,moderate,MG Road,cloudy,24
246,public_damage,12.920883,77.767534,24-09-2025,21:34,moderate,Whitefield,rainy,77
247,chain_snatching,13.053741,77.402936,02-04-2025,13:56,high,Jayanagar,humid,57
248,road_accident,12.807333,77.572198,20-09-2025,10:16,high,Electronic City,rainy,37
249,burglary,12.900201,77.491588,14-06-2025,05:04,critical,Malleshwaram,humid,64
250,vehicle_theft,12.949036,77.440723,26-04-2025,05:09,high,Koramangala,humid,33
251,public_damage,12.913348,77.492546,24-05-2025,10:13,moderate,Hebbal,clear,35
252,assault,13.059327,77.654627,18-08-2025,16:54,high,Whitefield,clear,75
253,assault,12.990785,77.587386,08-07-2025,01:06,high,Whitefield,rainy,92
254,vandalism,12.838218,77.671549,20-09-2025,08:19,low,Jayanagar,humid,78
255,assault,13.057801,77.577597,12-05-2025,23:36,high,MG Road,rainy,91
256,street_fight,13.039805,77.534468,22-10-2025,03:05,high,Koramangala,humid,53
257,road_accident,12.927588,77.504001,05-09-2025,01:21,high,Yelahanka,clear,37
258,public_damage,12.819512,77.67857,08-09-2025,20:14,moderate,Malleshwaram,rainy,83
259,chain_snatching,13.023034,77.477497,02-11-2025,03:27,high,Koramangala,cloudy,65
260,vandalism,13.090451,77.766574,17-09-2025,07:39,low,Hebbal,rainy,58
261,burglary,13.029872,77.748385,11-05-2025,02:46,critical,MG Road,clear,15
262,pickpocketing,13.030959,77.683784,29-07-2025,19:13,moderate,Jayanagar,rainy,57
263,street_fight,12.854204,77.657855,05-07-2025,15:57,high,Yelahanka,humid,60
264,public_damage,12.920692,77.423829,27-09-2025,14:58,moderate,Malleshwaram,clear,34
265,vehicle_theft,13.061907,77.434684,04-05-2025,17:47,high,Koramangala,humid,73
266,vandalism,12.92217,77.432445,04-08-2025,12:17,low,MG Road,cloudy,76
267,harassment,12.810652,77.487378,19-10-2025,01:06,moderate,Hebbal,cloudy,38
268,pickpocketing,12.861925,77.470238,19-06-2025,03:26,moderate,Whitefield,humid,91
269,cybercrime,12.908971,77.475993,28-05-2025,09:35,low,Electronic City,rainy,92
270,vehicle_theft,13.088521,77.724859,17-06-2025,06:30,high,Whitefield,rainy,68
271,public_damage,12.983864,77.589603,09-09-2025,07:25,moderate,Electronic City,cloudy,71
272,vehicle_theft,13.070561,77.519984,10-11-2025,19:10,high,Yelahanka,humid,34
273,burglary,12.928785,77.713163,28-09-2025,22:35,critical,Jayanagar,clear,71
274,burglary,13.051579,77.655985,12-07-2025,12:47,critical,Koramangala,humid,68
275,vandalism,13.006205,77.772005,27-04-2025,10:33,low,Electronic City,cloudy,62
276,pickpocketing,12.992235,77.788932,09-05-2025,13:34,moderate,Hebbal,clear,51
277,vehicle_theft,12.970315,77.769583,02-09-2025,05:09,high,Jayanagar,clear,43
278,chain_snatching,13.092023,77.665825,26-05-2025,04:38,high,Hebbal,clear,80
279,cybercrime,12.895014,77.642651,20-04-2025,10:57,low,Hebbal,humid,14
280,vehicle_theft,12.855604,77.764861,09-11-2025,19:29,high,Electronic City,humid,58
281,public_damage,13.062526,77.67661,11-08-2025,12:11,moderate,BTM,humid,48
282,road_accident,12.975276,77.579039,09-08-2025,15:09,high,Malleshwaram,cloudy,85
283,road_accident,13.021187,77.509157,30-05-2025,17:42,high,Whitefield,rainy,34
284,vehicle_theft,13.097954,77.540763,05-09-2025,09:31,high,Koramangala,humid,14
285,assault,12.823466,77.48543,18-10-2025,09:30,high,Whitefield,humid,38
286,street_fight,12.818381,77.425928,31-03-2025,16:59,high,Hebbal,rainy,21
287,cybercrime,12.890104,77.415871,21-09-2025,04:53,low,Hebbal,cloudy,90
288,burglary,12.95805,77.42106,18-06-2025,00:56,critical,Hebbal,rainy,68
289,road_accident,12.991658,77.519549,17-06-2025,09:13,high,Hebbal,clear,81
290,chain_snatching,13.003232,77.772179,10-11-2025,05:20,high,BTM,humid,31
291,public_damage,12.802506,77.797509,01-11-2025,22:55,moderate,Yelahanka,humid,38
292,harassment,13.086123,77.574782,14-11-2025,09:13,moderate,Malleshwaram,humid,46
293,vehicle_theft,12.805479,77.456853,08-09-2025,00:38,high,Whitefield,clear,29
294,public_damage,13.024035,77.547977,01-07-2025,20:54,moderate,Koramangala,rainy,47
295,cybercrime,13.039809,77.754956,20-08-2025,18:53,low,Malleshwaram,humid,95
296,pickpocketing,13.034581,77.608517,24-08-2025,14:49,moderate,MG Road,rainy,25
297,pickpocketing,12.955869,77.432632,07-07-2025,01:38,moderate,Malleshwaram,rainy,47
298,harassment,12.943272,77.483862,15-11-2025,01:55,moderate,BTM,cloudy,43
299,vandalism,13.027194,77.549377,13-11-2025,15:56,low,Indiranagar,humid,53
300,street_fight,12.958013,77.765326,23-04-2025,15:30,high,Whitefield,rainy,67
301,harassment,12.995648,77.594455,27-09-2025,06:05,moderate,Malleshwaram,cloudy,89
302,burglary,12.96128,77.778144,26-04-2025,21:49,critical,Koramangala,rainy,25
303,assault,12.890112,77.596302,21-09-2025,08:08,high,Jayanagar,rainy,69
304,vandalism,12.902911,77.450692,14-04-2025,08:24,low,Jayanagar,clear,15
305,vehicle_theft,12.885223,77.622493,01-10-2025,08:05,high,Koramangala,humid,92
306,burglary,12.897587,77.748021,10-05-2025,00:11,critical,Malleshwaram,humid,46
307,vandalism,12.940321,77.624817,18-10-2025,03:49,low,Yelahanka,cloudy,55
308,assault,12.837163,77.648698,21-07-2025,05:41,high,Jayanagar,clear,16
309,cybercrime,12.850918,77.748819,11-11-2025,05:29,low,Jayanagar,cloudy,29
310,burglary,12.829271,77.718512,21-04-2025,02:09,critical,Electronic City,humid,58
311,public_damage,12.92623,77.496213,08-07-2025,03:57,moderate,Hebbal,humid,48
312,vandalism,13.04899,77.531247,09-06-2025,13:45,low,MG Road,humid,73
313,assault,12.876935,77.77605,06-06-2025,23:55,high,Koramangala,clear,69
314,public_damage,12.916013,77.745502,18-08-2025,06:07,moderate,Malleshwaram,humid,44
315,public_damage,12.924206,77.707384,13-06-2025,21:01,moderate,Electronic City,cloudy,33
316,public_damage,12.841709,77.527846,24-10-2025,13:20,moderate,BTM,rainy,10
317,burglary,12.900854,77.449762,18-06-2025,10:57,critical,Jayanagar,rainy,37
318,street_fight,13.028249,77.476737,24-10-2025,05:08,high,Whitefield,clear,91
319,vehicle_theft,13.017846,77.449218,08-05-2025,00:14,high,Indiranagar,humid,30
320,burglary,12.810968,77.419776,03-05-2025,21:32,critical,Indiranagar,clear,84
321,pickpocketing,12.917349,77.549808,15-09-2025,02:12,moderate,BTM,cloudy,64
322,vehicle_theft,12.862949,77.577881,01-04-2025,18:40,high,Hebbal,rainy,28
323,cybercrime,13.063809,77.524305,02-07-2025,04:58,low,Yelahanka,cloudy,33
324,chain_snatching,12.921565,77.525913,07-06-2025,16:26,high,Jayanagar,clear,30
